Model,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC,CPU Usage (%),RAM Usage (MB),Training Time (s),Prediction Time (s),Model Size (MB),Type
Stack All 5 → LR,0.9349,0.9513,0.9292,0.9401,0.9419,0.0581,0.9855,1.1,331.08,87.5814,1.6752,234.4137,Ensemble Model
Stack RF+AB+GB → GB,0.9343,0.9611,0.9177,0.9389,0.9545,0.0455,0.9853,10.3,241.18,89.3355,0.3719,211.0208,Ensemble Model
Stack All 5 → GB,0.9343,0.9624,0.9164,0.9388,0.9562,0.0438,0.9855,15.5,154.41,92.2199,1.2324,234.6821,Ensemble Model
Stack RF+AB+GB → LR,0.9343,0.951,0.9284,0.9396,0.9414,0.0586,0.9855,1.4,23.97,82.044,0.4938,210.7568,Ensemble Model
Random Forest,0.9299,0.9455,0.926,0.9356,0.9347,0.0653,0.9836,381.3,111.58,5.8917,0.2493,105.0493,Base Model
Gradient Boosting,0.926,0.9551,0.9081,0.931,0.9478,0.0522,0.9823,92.7,25.1,21.3449,0.036,0.2536,Base Model
Soft Voting (All 5),0.9206,0.9784,0.8749,0.9238,0.9764,0.0236,0.9824,4.0,118.76,44.1937,1.2861,234.4129,Ensemble Model
Hard Voting (All 5),0.9192,0.9686,0.8818,0.9232,0.9651,0.0349,,2.7,76.95,26.455,1.4153,234.4129,Ensemble Model
KNN,0.9082,0.9347,0.8957,0.9148,0.9235,0.0765,0.9647,80.5,19.56,0.5409,2.0277,11.8145,Base Model
AdaBoost,0.8754,0.9183,0.849,0.8823,0.9076,0.0924,0.9549,84.9,4.62,7.011,0.164,0.054,Base Model
Naive Bayes,0.5154,0.7796,0.1662,0.274,0.9425,0.0575,0.8138,128.8,0.05,0.0484,0.0112,0.0009,Base Model
