dur,proto,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,label
0.475647,tcp,CON,4,6,1200,890,21.024,64,42,0
1.237462,tcp,CON,10,12,2179,6380,17.7783,64,42,0
0.0,other,CON,1,0,54,0,0.0,1,0,0
0.02532,tcp,CON,1,1,55,70,78.988,64,118,0
1.235583,tcp,CON,10,12,2179,6380,17.8054,64,42,0
0.06203,tcp,CON,1,1,70,55,32.2424,118,64,0
0.0,other,CON,1,0,54,0,0.0,1,0,0
1.231822,tcp,CON,10,12,2167,6380,17.8597,64,42,0
1.223351,tcp,CON,10,12,2179,6380,17.9834,64,42,0
9.640918,tcp,CON,8,0,600,0,0.8298,64,0,0
9.620499,tcp,CON,8,0,600,0,0.8316,64,0,0
9.610843,tcp,CON,8,0,600,0,0.8324,64,0,0
9.624061,tcp,CON,8,0,600,0,0.8312,64,0,0
9.592862,tcp,CON,8,0,600,0,0.834,64,0,0
1.254793,tcp,CON,10,12,2179,6380,17.5328,64,42,0
0.268162,tcp,CON,2,1,141,83,11.1873,41,64,0
0.050041,tcp,CON,1,1,70,55,39.9673,55,64,0
10.030424,tcp,CON,3,3,188,165,0.5982,53,64,0
1.261502,tcp,CON,10,12,2179,6380,17.4395,64,42,0
0.025768,tcp,CON,1,1,55,70,77.6162,64,245,0
15.447273,tcp,CON,4,4,288,280,0.5179,84,64,0
1.232379,tcp,CON,10,12,2179,6380,17.8516,64,42,0
1.333091,tcp,CON,10,12,2179,6380,16.503,64,42,0
0.000373,tcp,CON,2,1,140,54,8040.1994,49,64,0
0.0,tcp,CON,0,1,0,55,0.0,0,64,0
1.250498,tcp,CON,10,12,2167,6380,17.593,64,42,0
0.0114,tcp,CON,3,2,309,256,438.6063,56,64,0
2.241623,tcp,CON,12,13,2299,6438,11.1526,64,42,0
0.048827,tcp,CON,1,1,54,179,40.9612,64,118,0
0.053542,tcp,CON,1,1,70,55,37.3536,117,64,0
0.056227,tcp,CON,1,1,70,55,35.57,117,64,0
0.024506,tcp,CON,1,1,55,70,81.6139,64,118,0
0.022586,tcp,CON,1,1,70,55,88.5519,118,64,0
0.011025,tcp,CON,1,1,70,55,181.4106,56,64,0
0.051822,tcp,CON,1,1,55,70,38.5939,64,118,0
1.08318,tcp,CON,21,14,4179,9919,32.3123,64,101,0
1.227452,tcp,CON,10,12,2179,6380,17.9233,64,42,0
2.820342,udp,CON,2,2,473,178,1.4183,63,64,0
4.91135,tcp,CON,135,232,13303,307620,74.7249,104,64,0
0.023813,tcp,CON,1,1,70,55,83.9885,55,64,0
0.052353,tcp,CON,1,1,55,70,38.2021,64,118,0
0.0,udp,CON,1,0,492,0,0.0,255,0,0
1.234729,tcp,CON,10,12,2179,6380,17.8177,64,42,0
1.254347,tcp,CON,10,12,2179,6380,17.539,64,42,0
2.002855,tcp,CON,11,16,5328,5052,13.4808,107,64,0
1.230745,tcp,CON,10,12,2179,6380,17.8754,64,42,0
4.7e-05,tcp,CON,1,1,54,58,42153.809,64,241,0
1.242694,tcp,CON,10,12,2179,6380,17.7035,64,42,0
1.225674,tcp,CON,10,12,2179,6380,17.9493,64,42,0
0.024709,tcp,CON,1,1,55,70,80.9406,64,118,0
1.254348,tcp,CON,10,12,2179,6380,17.539,64,42,0
3.398908,tcp,CON,3,3,234,207,1.7653,64,39,0
0.034974,tcp,CON,2,2,189,108,114.3711,118,64,0
1.234209,tcp,CON,10,12,2179,6380,17.8252,64,42,0
0.051381,tcp,CON,1,1,55,70,38.925,64,118,0
0.024585,tcp,CON,1,1,70,55,81.3512,118,64,0
1.230981,tcp,CON,10,12,2179,6380,17.8719,64,42,0
0.818414,udp,CON,4,0,714,0,4.8875,4,0,0
0.206407,tcp,CON,2,2,187,177,19.3792,84,64,0
1.238658,tcp,CON,10,12,2167,6380,17.7612,64,42,0
1.000628,tcp,CON,7,9,1986,5715,15.99,64,42,0
