dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,label
2.001348,tcp,-,FIN,16,14,862,802,14.490233,254,252,3233.820312,2977.99292,133.423196,146.368077,Normal
0.472012,tcp,http,FIN,10,8,834,354,36.016032,254,252,12728.48926,5254.103516,52.445778,60.35343,Attack
0.320972,tcp,http,FIN,10,8,784,1256,52.964122,62,252,17596.55078,27391.79688,35.663556,38.518145,Attack
3e-06,gre,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
4e-06,udp,-,INT,2,0,1064,0,250000.0006,254,0,1064000000.0,0.0,0.004,0.0,Attack
4e-06,leaf-1,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0.004,0.0,Attack
4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0.004,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
1.665064,tcp,ftp-data,FIN,14,6,8928,320,11.410973,31,29,39835.10547,1282.833618,128.081847,332.462,Normal
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
1.049279,tcp,-,FIN,10,8,574,354,16.201602,254,252,3941.754395,2363.527832,116.586556,117.590859,Attack
0.202427,tcp,-,FIN,22,24,4168,2768,222.302361,31,29,157251.75,104847.6719,9.623238,8.777913,Normal
0.039004,tcp,-,FIN,60,62,3614,50036,3102.245783,31,29,728950.875,10097220.0,0.678807,0.650339,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
19.888327,ospf,-,INT,20,0,900,0,0.955334,254,0,343.920349,0.0,1046.753875,0.0,Attack
3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
0.770482,tcp,-,FIN,10,8,564,354,22.06411,254,252,5274.620117,3218.764404,83.474889,102.168859,Attack
1.475882,tcp,http,FIN,10,10,1384,1150,12.873657,254,252,6753.927246,5610.20459,163.986889,152.225891,Attack
0.001082,udp,dns,CON,2,2,130,162,2772.643321,31,29,480591.5,598890.9375,0.009,0.006,Normal
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
3e-06,pgm,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
0.034958,tcp,-,FIN,60,62,3598,48710,3461.296291,31,29,809886.125,10967446.0,0.587254,0.5707,Normal
3e-06,udp,-,INT,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0.003,0.0,Attack
44.300476,ospf,-,INT,28,0,12832,0,0.609474,254,0,2234.55835,0.0,1640.758375,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
0.000991,udp,dns,CON,2,2,146,178,3027.245271,31,29,589303.75,718466.1875,0.001,0.009,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
2.256998,tcp,http,FIN,42,220,2924,282805,115.64033,62,252,10119.63672,997856.4375,55.04873,10.115069,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
2.370925,tcp,smtp,FIN,22,20,4082,1896,17.292829,62,252,13149.29883,6080.327637,112.90119,118.806266,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
