dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,label
6e-06,ipv6-no,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0.006,0.0,Attack
0.628403,tcp,-,FIN,10,6,534,268,23.870032,254,252,6123.458984,2851.673096,66.468111,113.734203,Normal
8e-06,udp,-,INT,2,0,1066,0,125000.0003,254,0,533000000.0,0.0,0.008,0.0,Normal
0.872832,tcp,http,FIN,10,10,846,1216,21.768221,62,252,6984.162109,10036.2959,96.928,92.167109,Normal
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
2.016998,tcp,ftp,FIN,52,54,2934,3740,52.057561,31,29,11414.9834,14560.25195,39.542981,38.047719,Normal
0.004662,tcp,-,FIN,18,18,4016,2456,7507.507333,31,29,6508794.5,3981124.0,0.256,0.245,Normal
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
0.487147,tcp,http,FIN,10,6,982,268,30.791527,254,252,14517.17871,3678.561035,52.181,83.932203,Attack
0.189736,tcp,http,FIN,10,12,812,8454,110.680107,62,252,30821.77539,326769.8438,21.081778,16.294818,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
0.030952,tcp,-,FIN,122,126,7816,15132,7980.098441,31,29,2003618.625,3880072.5,0.268254,0.245145,Normal
0.790384,udp,-,CON,4,4,568,312,8.856455,31,29,4311.828125,2368.468994,221.016328,100.354,Normal
0.024287,tcp,http,FIN,8,10,1042,824,699.962935,31,29,300407.625,244410.5938,3.419143,2.638667,Normal
0.611485,tcp,http,FIN,10,10,834,5598,31.071899,62,252,9825.261719,65924.75781,67.942778,59.627111,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0.01,0.0,Attack
0.188451,tcp,-,FIN,10,6,558,268,79.596285,254,252,21353.0293,9509.102539,19.480778,26.005199,Attack
9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0.009,0.0,Attack
2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0.002,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
6e-06,a/n,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0.006,0.0,Attack
1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0.001,0.0,Attack
0.15671,udp,dns,CON,2,2,144,414,19.143641,62,252,3675.579102,10567.29004,0.004,0.009,Attack
9e-06,vines,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,Attack
0.823977,tcp,-,FIN,122,126,7814,16912,299.765651,31,29,75244.82031,162897.75,6.805744,6.587936,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
6e-06,smp,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0.006,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
6e-06,unas,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0.006,0.0,Attack
1.529896,tcp,-,FIN,12,10,994,842,13.726423,254,252,4768.95166,3963.667969,134.506722,158.040562,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
0.655021,tcp,-,FIN,10,8,564,354,25.953366,254,252,6204.381348,3786.138184,71.352556,92.758711,Attack
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,Attack
1.231994,tcp,http,FIN,12,10,912,4260,17.045537,62,252,5428.597656,24896.22461,111.999452,123.408667,Attack
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,Attack
1.266729,tcp,http,FIN,14,18,1684,10168,24.47248,31,29,9877.408203,60653.85938,97.414923,74.484176,Normal
59.760056,ospf,-,INT,180,0,48960,0,2.995312,254,0,6517.79834,0.0,333.854969,0.0,Attack
