dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,label
0.125018,udp,-,CON,4,4,520,304,55.991937,31,29,24956.40625,14589.89941,36.313332,7.618,Normal
4e-06,udp,-,INT,2,0,168,0,250000.0006,254,0,168000000.0,0.0,0.004,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
0.001032,udp,dns,CON,2,2,132,164,2906.976908,31,29,511627.9375,635658.9375,0.01,0.007,Normal
1.5e-05,sun-nd,-,INT,1,0,60,0,0.0,0,0,0.0,0.0,0.0,0.0,Attack
1.6e-05,udp,dns,INT,2,0,114,0,62500.00016,254,0,28500000.0,0.0,0.016,0.0,Attack
3e-06,sat-mon,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
2.050286,tcp,-,FIN,12,10,994,826,10.242473,254,252,3558.527832,2903.009521,186.389639,213.648672,Attack
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,Attack
6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0.006,0.0,Attack
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,Attack
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,Attack
0.844536,tcp,ftp,FIN,52,54,2934,3742,124.328624,31,29,27262.30664,34793.07031,16.55355,15.925736,Normal
1e-05,udp,-,INT,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0.01,0.0,Attack
1.028495,tcp,http,FIN,10,10,822,1388,18.473596,62,252,5755.983398,9722.945312,9515.6991,9515.697,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
0.013086,tcp,-,FIN,16,18,1540,1644,2521.778912,31,29,882775.4375,949411.5625,0.851667,0.743588,Normal
0.001014,udp,dns,CON,2,2,146,178,2958.579772,31,29,575936.875,702169.625,0.009,0.008,Normal
0.875009,tcp,http,FIN,10,6,832,268,17.142681,254,252,6847.929688,2047.978882,95.411111,162.842797,Attack
3.389917,tcp,-,FIN,234,438,13454,548216,197.939956,31,29,31616.11523,1290804.5,14.547674,7.773874,Normal
9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0.009,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
9e-06,leaf-2,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
7e-06,vmtp,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0.007,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
9e-06,sprite-rpc,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0.003,0.0,Attack
0.001049,udp,dns,CON,2,2,146,178,2859.866662,31,29,556720.6875,678741.6875,0.009,0.007,Normal
1.034213,tcp,-,FIN,10,8,564,354,16.437621,254,252,3929.55835,2397.95874,112.566,138.924719,Attack
2.016998,tcp,ftp,FIN,52,54,2934,3740,52.057561,31,29,11414.9834,14560.25195,39.542981,38.047719,Normal
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,Attack
0.002645,udp,-,CON,4,4,528,304,2646.502952,31,29,1197731.625,689603.0625,0.737333,0.532667,Normal
0.003874,tcp,http,FIN,8,10,1052,824,4388.229301,31,29,1901910.25,1532266.375,0.502857,0.374556,Normal
0.020602,tcp,-,FIN,16,18,1540,1644,1601.786166,31,29,560722.25,603048.25,1.352933,1.184706,Normal
0.004601,udp,-,CON,4,4,568,320,1521.40843,31,29,740708.5625,417300.5938,1.171667,1.041,Normal
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0.009,0.0,Normal
0.888416,tcp,smtp,FIN,62,26,59938,2040,97.927098,62,252,531030.5,17667.39844,14.806933,35.103602,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
0.028859,tcp,-,FIN,48,50,2958,33044,3361.16975,31,29,803077.0,8977165.0,0.621022,0.577449,Normal
0.410782,tcp,ssh,FIN,32,24,3728,5474,133.890966,31,29,70343.88281,102166.1094,13.251033,17.831043,Normal
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,Attack
29.942314,ospf,-,INT,20,0,1280,0,0.634553,254,0,324.891388,0.0,1575.911375,0.0,Attack
10.085601,tcp,http,FIN,340,746,18162,1087890,107.579114,31,29,14364.24121,861768.8125,29.838142,13.536396,Normal
1.009974,tcp,http,FIN,14,18,1684,10168,30.693859,31,29,12388.4375,76073.24219,77.664538,59.377412,Normal
0.316594,tcp,-,FIN,10,6,534,268,47.379293,254,252,12154.36816,5660.246094,35.069222,50.749398,Attack
0.825737,tcp,http,FIN,10,6,2756,268,18.16559,254,252,24036.70898,2170.182617,91.449333,141.421,Attack
2e-06,unas,-,INT,2,0,200,0,500000.0013,254,0,400000000.0,0.0,0.002,0.0,Attack
0.372443,tcp,-,FIN,10,6,2516,268,40.27462,254,252,48651.74219,4811.474609,34.991889,58.383398,Attack
19.602022,tcp,http,FIN,10,12,822,4150,1.071318,62,252,302.009644,1552.901001,2178.001333,1777.805727,Normal
0.00495,udp,-,CON,4,4,568,320,1414.141422,31,29,688484.875,387878.7813,1.311333,1.154,Normal
9e-06,secure-vmtp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
0.526785,tcp,-,FIN,10,6,782,268,28.474614,254,252,10691.26856,3401.767334,48.511,96.292602,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,60000.68,0.0,Normal
1e-05,swipe,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0.01,0.0,Attack
0.494683,tcp,http,FIN,10,8,798,1074,34.365442,62,252,11627.64844,15201.6543,61.817749,61.35757,Normal
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
0.399449,tcp,http,FIN,10,8,1366,354,42.558625,254,252,24633.93359,6208.552246,42.697556,50.050855,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
1e-06,sctp,-,INT,2,0,640,0,1000000.003,254,0,2560000000.0,0.0,0.001,0.0,Attack
0.223328,tcp,ftp-data,FIN,14,6,8928,320,85.076661,31,29,296998.1563,9564.408203,17.179078,44.540801,Normal
0.683363,tcp,-,FIN,20,8,16864,436,39.510479,254,252,187554.7813,4472.000977,35.966473,76.645,Attack
0.001204,udp,dns,CON,2,2,130,162,2491.694412,31,29,431893.6875,538206.0,0.009,0.009,Normal
0.018051,tcp,-,FIN,16,18,1540,1644,1828.153533,31,29,639964.5625,688272.125,1.180667,1.034588,Normal
0.036092,tcp,smtp,FIN,54,42,37938,3380,2632.162382,31,29,8253574.5,731464.0625,0.700275,0.867854,Normal
5.052801,ospf,-,INT,42,0,2688,0,8.114311,254,0,4154.527344,0.0,123.239047,0.0,Attack
0.369067,tcp,-,FIN,10,6,546,268,40.643025,254,252,10664.72949,4855.486816,40.899444,64.875,Attack
0.360464,tcp,-,FIN,28,30,4480,3080,158.129519,31,29,95876.42188,66092.59375,13.338519,12.410759,Normal
0.012958,tcp,-,FIN,40,42,2542,23508,6250.964455,31,29,1530483.0,14168235.0,0.324308,0.311675,Normal
0.287189,tcp,http,FIN,10,8,824,1380,59.194466,62,252,20669.31445,33650.3125,31.909889,34.341285,Attack
5e-06,sps,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0.005,0.0,Attack
2.924168,tcp,-,FIN,60,16,68181,698,25.64832,254,252,183423.1094,1791.962646,48.55012,183.550203,Attack
5e-06,idrp,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0.005,0.0,Attack
0.667658,tcp,http,FIN,10,8,856,922,25.462139,62,252,9238.262695,9669.62207,74.184222,71.462,Attack
0.595479,tcp,http,FIN,10,8,794,1302,28.548445,62,252,9605.711914,15315.40137,66.164333,74.653141,Attack
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,Attack
0.523631,tcp,-,FIN,10,8,2530,354,32.465612,254,252,34787.85938,4736.159668,56.049556,69.023289,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
0.3577,tcp,http,FIN,10,6,846,268,41.934583,254,252,17042.21484,5009.784668,35.765667,56.694199,Attack
7e-06,udp,-,INT,2,0,2050,0,142857.1409,254,0,1171428608.0,0.0,0.007,0.0,Normal
0.835573,tcp,-,FIN,12,10,1582,498,25.132453,254,252,13892.2627,4298.846191,74.566544,90.538109,Attack
2e-06,emcon,-,INT,2,0,180,0,500000.0013,254,0,360000000.0,0.0,0.002,0.0,Attack
0.60716,tcp,http,FIN,10,8,824,1166,27.999211,62,252,9776.666016,13452.79688,67.462222,76.63643,Normal
1.416647,tcp,-,FIN,10,10,608,646,13.411951,254,252,3094.631348,3286.634033,11773.2062,11773.135,Attack
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,Attack
0.00438,tcp,ftp-data,FIN,8,12,424,8824,4337.899718,31,29,677625.625,14774430.0,0.582,0.350455,Normal
2.691372,tcp,ftp,FIN,22,22,1198,1662,15.976982,62,252,3400.496094,4717.296875,128.160574,126.097237,Attack
9e-06,udp,-,INT,2,0,188,0,111111.1072,254,0,83555552.0,0.0,0.009,0.0,Attack
0.001003,udp,dns,CON,2,2,130,162,2991.027057,31,29,518444.6875,646061.875,0.008,0.007,Normal
0.429807,tcp,ftp-data,FIN,6,8,320,1882,30.246133,31,29,4969.672363,30655.61914,85.8848,61.33443,Normal
0.71559,tcp,-,FIN,14,16,790,902,40.526,254,252,8205.816406,9457.929688,55.045383,42.534799,Attack
0.003972,tcp,http,FIN,8,10,1052,824,4279.959743,31,29,1854984.875,1494461.25,0.519143,0.383333,Normal
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,Attack
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,Attack
1.380381,tcp,-,FIN,14,14,870,764,19.559817,254,252,4682.765137,4114.806152,106.176618,99.994156,Normal
6e-06,unas,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0.006,0.0,Attack
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
0.004805,udp,-,CON,4,4,568,312,1456.815807,31,29,709261.1875,389594.1563,1.254,1.046333,Normal
0.757706,tcp,-,FIN,10,6,2250,268,19.796597,254,252,21380.32422,2365.033447,84.083889,137.526797,Attack
0.702451,tcp,-,FIN,10,8,564,354,24.200977,254,252,5785.457031,3530.495361,78.050111,98.74457,Attack
1.303708,tcp,-,FIN,10,8,756,354,13.03973,254,252,4178.850098,1902.266479,144.844667,173.233859,Attack
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,Attack
1.004732,tcp,http,FIN,12,18,1580,10168,28.863418,31,29,11537.40527,76470.14063,91.305001,59.070179,Normal
5.077442,tcp,-,FIN,22,22,1180,7090,8.468831,62,252,1775.697266,10663.63672,241.782946,247.364812,Attack
0.751996,tcp,smtp,FIN,20,20,3302,1732,51.861979,62,252,33372.51953,17510.73242,39.578735,38.171105,Attack
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,60000.672,0.0,Normal
0.007096,tcp,-,FIN,22,24,2054,2478,6341.600888,31,29,2210823.0,2677564.75,0.3365,0.274696,Normal
0.33274,tcp,http,FIN,10,8,810,1094,51.090941,62,252,17527.19727,23032.99805,36.971111,38.94257,Attack
1e-05,udp,-,INT,2,0,746,0,100000.0025,254,0,298400000.0,0.0,0.01,0.0,Normal
0.016797,tcp,-,FIN,48,50,2958,32642,5774.840559,31,29,1379770.125,15236054.0,0.358413,0.331959,Normal
9e-06,encap,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
1.891798,tcp,http,FIN,18,58,1190,69101,39.644824,62,252,4753.149902,287176.5313,111.275588,31.666649,Attack
0.006097,tcp,-,FIN,22,24,2054,2478,7380.678911,31,29,2573068.75,3116286.75,0.273429,0.253091,Normal
8e-06,udp,-,INT,2,0,168,0,125000.0003,254,0,84000000.0,0.0,0.008,0.0,Attack
0.005343,tcp,-,FIN,18,18,3936,2456,6550.627064,31,29,5566910.0,3473704.0,0.296882,0.285471,Normal
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,Attack
7e-06,udp,-,INT,2,0,168,0,142857.1409,254,0,96000000.0,0.0,0.007,0.0,Attack
0.50162,tcp,http,FIN,16,52,1050,61603,133.567244,62,252,15709.10254,963582.0,33.384201,9.259725,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
7e-06,udp,-,INT,2,0,104,0,142857.1409,254,0,59428572.0,0.0,0.007,0.0,Attack
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,Attack
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,60000.72,0.0,Normal
0.676519,tcp,-,FIN,10,8,564,354,25.128637,254,252,6007.222656,3665.824707,72.793,90.699289,Attack
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,Attack
0.30225,tcp,-,FIN,26,28,4376,2976,175.351531,31,29,111378.0,75963.60938,12.07732,11.174519,Normal
3.01672,tcp,-,FIN,10,8,2516,354,5.635259,254,252,6006.523438,822.0849,335.191111,405.143719,Attack
