Overall Rank,Model,Features,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC,CPU Usage (%),RAM Usage (MB),Training Time (s),Prediction Time (s),Model Size (MB),CPU Time (s),Accuracy_Rank,Precision_Rank,Recall_Rank,F1_Rank,Specificity_Rank,ROC-AUC_Rank,False Positive Rate_Rank,CPU Usage (%)_Rank,RAM Usage (MB)_Rank,Training Time (s)_Rank,Prediction Time (s)_Rank,Model Size (MB)_Rank,Average Rank
1,Stacking_Top3_GB,10,0.9347179206898646,0.9637883008356546,0.9158486820337488,0.9392071481083527,0.9578378378378378,0.04216216216216216,0.9860949418592518,,-65.36328125,104.06524190001073,0.609602900018217,105.61979675292969,146.09375,2.0,3.0,7.0,4.0,3.0,2.0,3.0,,2.0,12.0,7.0,7.0,4.7272727272727275
2,Stacking_Top3_LR,10,0.9342928280804033,0.950875211744777,0.9286423293261277,0.9396272737417699,0.9412162162162162,0.05878378378378379,0.9855025649891646,,13.9921875,96.49610930000199,0.27222210000036284,105.48888683319092,140.03125,3.0,8.0,1.0,1.0,8.0,4.0,8.0,,8.0,10.0,4.0,6.0,5.545454545454546
3,Stacking_All_GB,10,0.9348393757211393,0.9627228525121556,0.9171721627881327,0.9393956509460605,0.9564864864864865,0.04351351351351351,0.9862234148784276,,17.4375,91.22296889999416,0.9975716999906581,129.23452377319336,145.40625,1.0,4.0,6.0,3.0,4.0,1.0,4.0,,9.0,9.0,12.0,11.0,5.818181818181818
4,Gradient_Boosting,10,0.9204469545150908,0.9591570971942701,0.893570089334951,0.9252026949868677,0.9533783783783784,0.046621621621621624,0.9796077250737005,72.2,44.328125,9.909376621246338,0.022374629974365234,0.13413238525390625,,8.0,5.0,9.0,8.0,5.0,9.0,5.0,3.0,10.0,5.0,2.0,3.0,6.0
5,Random_Forest,10,0.9322280925487338,0.9499717034521789,0.9256644976287637,0.9376605965813876,0.9402702702702703,0.05972972972972973,0.9835786591709168,68.55,96.87890625,2.7205913066864014,0.14675688743591309,52.54471683502197,,6.0,9.0,3.0,6.0,9.0,6.0,9.0,2.0,12.0,3.0,3.0,5.0,6.083333333333333
6,Stacking_All_LR,10,0.9342928280804033,0.9510789741272173,0.928421749200397,0.9396137961826097,0.9414864864864865,0.05851351351351351,0.9855496543747895,,76.70703125,79.00196949997917,0.839544799993746,129.10265731811523,131.875,3.0,7.0,2.0,2.0,7.0,3.0,7.0,,11.0,8.0,9.0,10.0,6.2727272727272725
7,Soft_Voting,10,0.9194145867492561,0.9795539033457249,0.8718429469504798,0.9225652097800082,0.9777027027027027,0.0222972972972973,0.98207135916108,,0.0625,15.568508500000462,0.9274913999834098,129.10185623168945,22.90625,9.0,1.0,11.0,9.0,1.0,8.0,1.0,,5.0,6.0,11.0,8.0,6.363636363636363
8,Stacking_All_RF,10,0.9333211878302059,0.9568856782479074,0.9203705746112275,0.9382729930290084,0.9491891891891892,0.05081081081081081,0.9847192521737577,,-67.94921875,151.35314380002092,1.1032971999957226,183.71049118041992,170.765625,5.0,6.0,4.0,5.0,6.0,5.0,6.0,,1.0,13.0,13.0,13.0,7.0
9,Hard_Voting,10,0.9175320337644987,0.9719603281498714,0.8754825190250358,0.9212022745735174,0.9690540540540541,0.030945945945945946,0.9222682865395448,,133.234375,16.61711620001006,0.8849547000136226,129.10185623168945,23.4375,10.0,2.0,10.0,10.0,2.0,12.0,2.0,,13.0,7.0,10.0,8.0,7.818181818181818
10,KNN,10,0.9074512661687011,0.9347550432276657,0.8943421197750083,0.9141021305377072,0.9235135135135135,0.07648648648648648,0.9661230583732514,26.25,5.33984375,0.15738773345947266,0.672386884689331,11.806432723999023,,11.0,11.0,8.0,11.0,12.0,10.0,12.0,1.0,7.0,2.0,8.0,4.0,8.083333333333334
11,Stacking_Top3_RF,10,0.927552073844659,0.9472847080209044,0.9195985441711702,0.9332363310761654,0.9372972972972973,0.0627027027027027,0.9824540507751602,,-10.96484375,96.5988230999792,0.3310792999982368,167.56927013397217,145.0625,7.0,10.0,5.0,7.0,11.0,7.0,11.0,,3.0,11.0,5.0,12.0,8.090909090909092
12,Naive_Bayes,10,0.5117507742758244,0.7634684453565931,0.16411161354361972,0.2701525054466231,0.9377027027027027,0.0622972972972973,0.8045732519770238,97.5,0.16015625,0.043417930603027344,0.009552955627441406,0.0010442733764648438,,13.0,13.0,13.0,13.0,10.0,13.0,10.0,5.0,6.0,1.0,1.0,1.0,8.25
13,AdaBoost,10,0.8764802331936601,0.913365463735747,0.8569537884636594,0.8842608398770911,0.9004054054054054,0.09959459459459459,0.9581686409581525,76.4,-2.25390625,6.676833629608154,0.40083765983581543,0.062351226806640625,,12.0,12.0,12.0,12.0,13.0,11.0,13.0,4.0,4.0,4.0,6.0,2.0,8.75
