Overall Rank,Model,Features,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC,CPU Usage (%),RAM Usage (MB),Training Time (s),Prediction Time (s),Model Size (MB),Avg Performance Rank,Avg Efficiency Rank
1,Stacking_All_GB,145,0.9337,0.9653,0.9122,0.938,0.9599,0.0401,0.9855,79.0,182.6484375,414.5093505382538,10.3354,194.231,2.86,12.0
2,Stacking_Top3_GB,145,0.9331,0.9655,0.911,0.9375,0.9602,0.0398,0.9854,65.25,125.49609375,429.4827353954315,1.5524,108.9969,3.29,8.0
3,Soft_Voting,145,0.9342,0.9574,0.9214,0.939,0.9498,0.0502,0.9844,89.30000000000001,64.6953125,57.11523985862732,1.4508,108.8626,4.0,6.5
4,Stacking_All_LR,145,0.9339,0.9519,0.9268,0.9391,0.9427,0.0573,0.9843,71.5,179.65234375,476.7051961421967,9.5758,194.0969,4.86,10.5
5,Hard_Voting,145,0.9303,0.9622,0.9091,0.9349,0.9563,0.0437,,64.85,236.79296875,30.76077771186829,16.612,193.9642,5.17,11.5
6,Stacking_Top3_LR,145,0.9336,0.9508,0.9273,0.9389,0.9413,0.0587,0.9843,87.4,308.27734375,440.0760827064514,1.4235,108.8634,5.57,6.5
7,Stacking_All_RF,145,0.9296,0.9544,0.9158,0.9347,0.9464,0.0536,0.9809,79.65,130.453125,403.89667296409607,9.8112,255.5472,7.0,12.0
8,Random_Forest,10,0.9322,0.95,0.9257,0.9377,0.9403,0.0597,0.9836,68.55,96.87890625,2.7205913066864014,0.1468,52.5447,7.14,4.0
9,Stacking_Top3_RF,145,0.9274,0.9577,0.9082,0.9323,0.9509,0.0491,0.98,66.45,74.91796875,406.1961333751679,1.8677,171.7099,7.14,9.0
10,Gradient_Boosting,10,0.9204,0.9592,0.8936,0.9252,0.9534,0.0466,0.9796,72.2,44.328125,9.909376621246338,0.0224,0.1341,7.43,2.5
11,KNN,10,0.9075,0.9348,0.8943,0.9141,0.9235,0.0765,0.9661,26.25,5.33984375,0.1573877334594726,0.6724,11.8064,11.0,4.5
12,AdaBoost,10,0.8765,0.9134,0.857,0.8843,0.9004,0.0996,0.9582,76.4,-2.25390625,6.676833629608154,0.4008,0.0624,12.14,3.0
13,Naive_Bayes,10,0.5118,0.7635,0.1641,0.2702,0.9377,0.0623,0.8046,97.5,0.16015625,0.0434179306030273,0.0096,0.001,12.29,1.0
