Overall Rank,Model,Accuracy,Precision,Recall,F1,Specificity,ROC-AUC,False Positive Rate,Average Performance Rank
1,Stacking_All_GB,0.9337,0.9653,0.9122,0.938,0.9599,0.9855,0.0401,3.29
2,Stacking_Top3_GB,0.9331,0.9655,0.911,0.9375,0.9602,0.9854,0.0398,3.57
3,Soft_Voting,0.9342,0.9574,0.9214,0.939,0.9498,0.9844,0.0502,4.43
4,Stacking_All_LR,0.9339,0.9519,0.9268,0.9391,0.9427,0.9843,0.0573,5.29
5,Hard_Voting,0.9303,0.9622,0.9091,0.9349,0.9563,,0.0437,5.67
6,Stacking_Top3_LR,0.9336,0.9508,0.9273,0.9389,0.9413,0.9843,0.0587,6.0
7,Stacking_All_RF,0.9296,0.9544,0.9158,0.9347,0.9464,0.9809,0.0536,7.29
8,Stacking_Top3_RF,0.9274,0.9577,0.9082,0.9323,0.9509,0.98,0.0491,7.43
9,Naive_Bayes,0.5469,1.0,0.1765,0.3,1.0,0.5894,0.0,7.71
10,Gradient_Boosting,0.9181,0.9595,0.8887,0.9228,0.9541,0.9794,0.0459,7.86
11,Random_Forest,0.9318,0.9494,0.9253,0.9372,0.9397,0.9799,0.0603,8.0
12,KNN,0.832,0.8182,0.8931,0.854,0.7573,0.9455,0.2427,11.71
13,AdaBoost,0.8496,0.94,0.7761,0.8502,0.9394,0.9396,0.0606,11.71
